modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
1024,1023,3,0.99,"{""z"": 80, ""m"": 511, ""s"": 2, ""l"": 256, ""algorithms"": [""EH17"", ""E20""]}"
1024,853,4,0.99,"{""z"": 80, ""m"": 511, ""s"": 3, ""l"": 171, ""algorithms"": [""EH17"", ""E20""]}"
1024,767,5,0.99,"{""z"": 80, ""m"": 511, ""s"": 4, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
1024,717,6,0.99,"{""z"": 80, ""m"": 511, ""s"": 5, ""l"": 103, ""algorithms"": [""EH17"", ""E20""]}"
1024,683,7,0.99,"{""z"": 80, ""m"": 511, ""s"": 6, ""l"": 86, ""algorithms"": [""EH17"", ""E20""]}"
1024,657,8,0.99,"{""z"": 80, ""m"": 511, ""s"": 7, ""l"": 73, ""algorithms"": [""EH17"", ""E20""]}"
1024,639,10,0.99,"{""z"": 80, ""m"": 511, ""s"": 8, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
1024,625,11,0.99,"{""z"": 80, ""m"": 511, ""s"": 9, ""l"": 57, ""algorithms"": [""EH17"", ""E20""]}"
1024,615,12,0.99,"{""z"": 80, ""m"": 511, ""s"": 10, ""l"": 52, ""algorithms"": [""EH17"", ""E20""]}"
1024,605,14,0.99,"{""z"": 80, ""m"": 511, ""s"": 11, ""l"": 47, ""algorithms"": [""EH17"", ""E20""]}"
1024,597,15,0.99,"{""z"": 80, ""m"": 511, ""s"": 12, ""l"": 43, ""algorithms"": [""EH17"", ""E20""]}"
1024,591,17,0.99,"{""z"": 80, ""m"": 511, ""s"": 13, ""l"": 40, ""algorithms"": [""EH17"", ""E20""]}"
1024,585,19,0.99,"{""z"": 80, ""m"": 511, ""s"": 14, ""l"": 37, ""algorithms"": [""EH17"", ""E20""]}"
1024,581,20,0.99,"{""z"": 80, ""m"": 511, ""s"": 15, ""l"": 35, ""algorithms"": [""EH17"", ""E20""]}"
1024,575,23,0.99,"{""z"": 80, ""m"": 511, ""s"": 16, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
1024,573,24,0.99,"{""z"": 80, ""m"": 511, ""s"": 17, ""l"": 31, ""algorithms"": [""EH17"", ""E20""]}"
1024,569,26,0.99,"{""z"": 80, ""m"": 511, ""s"": 18, ""l"": 29, ""algorithms"": [""EH17"", ""E20""]}"
1024,565,29,0.99,"{""z"": 80, ""m"": 511, ""s"": 19, ""l"": 27, ""algorithms"": [""EH17"", ""E20""]}"
1536,2201,1,0.999,"{""z"": 96, ""m"": 767, ""delta"": 50, ""l"": 717, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2241,1,0.9999,"{""z"": 96, ""m"": 767, ""delta"": 30, ""l"": 737, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2259,1,0.9999,"{""z"": 96, ""m"": 767, ""delta"": 21, ""l"": 746, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2261,1,0.999,"{""z"": 96, ""m"": 767, ""delta"": 20, ""l"": 747, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,1535,3,0.99,"{""z"": 96, ""m"": 767, ""s"": 2, ""l"": 384, ""algorithms"": [""EH17"", ""E20""]}"
1536,1279,4,0.99,"{""z"": 96, ""m"": 767, ""s"": 3, ""l"": 256, ""algorithms"": [""EH17"", ""E20""]}"
1536,1151,5,0.99,"{""z"": 96, ""m"": 767, ""s"": 4, ""l"": 192, ""algorithms"": [""EH17"", ""E20""]}"
1536,1075,6,0.99,"{""z"": 96, ""m"": 767, ""s"": 5, ""l"": 154, ""algorithms"": [""EH17"", ""E20""]}"
1536,1023,7,0.99,"{""z"": 96, ""m"": 767, ""s"": 6, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
1536,987,8,0.99,"{""z"": 96, ""m"": 767, ""s"": 7, ""l"": 110, ""algorithms"": [""EH17"", ""E20""]}"
1536,959,9,0.99,"{""z"": 96, ""m"": 767, ""s"": 8, ""l"": 96, ""algorithms"": [""EH17"", ""E20""]}"
1536,939,10,0.99,"{""z"": 96, ""m"": 767, ""s"": 9, ""l"": 86, ""algorithms"": [""EH17"", ""E20""]}"
1536,921,12,0.99,"{""z"": 96, ""m"": 767, ""s"": 10, ""l"": 77, ""algorithms"": [""EH17"", ""E20""]}"
1536,907,13,0.99,"{""z"": 96, ""m"": 767, ""s"": 11, ""l"": 70, ""algorithms"": [""EH17"", ""E20""]}"
1536,895,14,0.99,"{""z"": 96, ""m"": 767, ""s"": 12, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
1536,885,16,0.99,"{""z"": 96, ""m"": 767, ""s"": 13, ""l"": 59, ""algorithms"": [""EH17"", ""E20""]}"
1536,877,17,0.99,"{""z"": 96, ""m"": 767, ""s"": 14, ""l"": 55, ""algorithms"": [""EH17"", ""E20""]}"
1536,871,18,0.99,"{""z"": 96, ""m"": 767, ""s"": 15, ""l"": 52, ""algorithms"": [""EH17"", ""E20""]}"
1536,863,20,0.99,"{""z"": 96, ""m"": 767, ""s"": 16, ""l"": 48, ""algorithms"": [""EH17"", ""E20""]}"
1536,859,21,0.99,"{""z"": 96, ""m"": 767, ""s"": 17, ""l"": 46, ""algorithms"": [""EH17"", ""E20""]}"
1536,853,23,0.99,"{""z"": 96, ""m"": 767, ""s"": 18, ""l"": 43, ""algorithms"": [""EH17"", ""E20""]}"
1536,849,24,0.99,"{""z"": 96, ""m"": 767, ""s"": 19, ""l"": 41, ""algorithms"": [""EH17"", ""E20""]}"
1536,845,26,0.99,"{""z"": 96, ""m"": 767, ""s"": 20, ""l"": 39, ""algorithms"": [""EH17"", ""E20""]}"
1536,841,28,0.99,"{""z"": 96, ""m"": 767, ""s"": 21, ""l"": 37, ""algorithms"": [""EH17"", ""E20""]}"
1536,837,30,0.99,"{""z"": 96, ""m"": 767, ""s"": 22, ""l"": 35, ""algorithms"": [""EH17"", ""E20""]}"
1536,835,31,0.99,"{""z"": 96, ""m"": 767, ""s"": 23, ""l"": 34, ""algorithms"": [""EH17"", ""E20""]}"
1536,831,34,0.99,"{""z"": 96, ""m"": 767, ""s"": 24, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
2048,2969,1,0.999,"{""z"": 112, ""m"": 1023, ""delta"": 50, ""l"": 973, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
2048,3009,1,0.9999,"{""z"": 112, ""m"": 1023, ""delta"": 30, ""l"": 993, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
2048,3027,1,0.9999,"{""z"": 112, ""m"": 1023, ""delta"": 21, ""l"": 1002, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
2048,3029,1,0.999,"{""z"": 112, ""m"": 1023, ""delta"": 20, ""l"": 1003, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
2048,2047,3,0.99,"{""z"": 112, ""m"": 1023, ""s"": 2, ""l"": 512, ""algorithms"": [""EH17"", ""E20""]}"
2048,1705,4,0.99,"{""z"": 112, ""m"": 1023, ""s"": 3, ""l"": 341, ""algorithms"": [""EH17"", ""E20""]}"
2048,1535,5,0.99,"{""z"": 112, ""m"": 1023, ""s"": 4, ""l"": 256, ""algorithms"": [""EH17"", ""E20""]}"
2048,1433,6,0.99,"{""z"": 112, ""m"": 1023, ""s"": 5, ""l"": 205, ""algorithms"": [""EH17"", ""E20""]}"
2048,1365,7,0.99,"{""z"": 112, ""m"": 1023, ""s"": 6, ""l"": 171, ""algorithms"": [""EH17"", ""E20""]}"
2048,1317,8,0.99,"{""z"": 112, ""m"": 1023, ""s"": 7, ""l"": 147, ""algorithms"": [""EH17"", ""E20""]}"
2048,1279,9,0.99,"{""z"": 112, ""m"": 1023, ""s"": 8, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
2048,1251,10,0.99,"{""z"": 112, ""m"": 1023, ""s"": 9, ""l"": 114, ""algorithms"": [""EH17"", ""E20""]}"
2048,1229,11,0.99,"{""z"": 112, ""m"": 1023, ""s"": 10, ""l"": 103, ""algorithms"": [""EH17"", ""E20""]}"
2048,1209,13,0.99,"{""z"": 112, ""m"": 1023, ""s"": 11, ""l"": 93, ""algorithms"": [""EH17"", ""E20""]}"
