modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
512,295,23,0.99,"{""z"": 56, ""m"": 255, ""s"": 13, ""l"": 20, ""algorithms"": [""EH17"", ""E20""]}"
768,431,26,0.99,"{""z"": 72, ""m"": 383, ""s"": 16, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
1024,565,29,0.99,"{""z"": 80, ""m"": 511, ""s"": 19, ""l"": 27, ""algorithms"": [""EH17"", ""E20""]}"
1536,831,34,0.99,"{""z"": 96, ""m"": 767, ""s"": 24, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
2048,1095,39,0.99,"{""z"": 112, ""m"": 1023, ""s"": 29, ""l"": 36, ""algorithms"": [""EH17"", ""E20""]}"
3072,1623,45,0.99,"{""z"": 128, ""m"": 1535, ""s"": 35, ""l"": 44, ""algorithms"": [""EH17"", ""E20""]}"
4096,2147,51,0.99,"{""z"": 152, ""m"": 2047, ""s"": 41, ""l"": 50, ""algorithms"": [""EH17"", ""E20""]}"
6144,3187,64,0.99,"{""z"": 176, ""m"": 3071, ""s"": 53, ""l"": 58, ""algorithms"": [""EH17"", ""E20""]}"
8192,4229,73,0.99,"{""z"": 200, ""m"": 4095, ""s"": 62, ""l"": 67, ""algorithms"": [""EH17"", ""E20""]}"
