modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
1536,476,1,0.999,"{""z"": 96, ""m"": 192, ""delta"": 50, ""l"": 142, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,516,1,0.9999,"{""z"": 96, ""m"": 192, ""delta"": 30, ""l"": 162, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,536,1,0.999999,"{""z"": 96, ""m"": 192, ""delta"": 20, ""l"": 172, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,576,1,0.9999999999,"{""z"": 96, ""m"": 192, ""delta"": 0, ""l"": 192, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,384,3,0.99,"{""z"": 96, ""m"": 192, ""s"": 2, ""l"": 96, ""algorithms"": [""EH17"", ""E20""]}"
1536,320,4,0.99,"{""z"": 96, ""m"": 192, ""s"": 3, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
1536,288,5,0.99,"{""z"": 96, ""m"": 192, ""s"": 4, ""l"": 48, ""algorithms"": [""EH17"", ""E20""]}"
1536,270,7,0.99,"{""z"": 96, ""m"": 192, ""s"": 5, ""l"": 39, ""algorithms"": [""EH17"", ""E20""]}"
1536,256,9,0.99,"{""z"": 96, ""m"": 192, ""s"": 6, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
1536,248,10,0.99,"{""z"": 96, ""m"": 192, ""s"": 7, ""l"": 28, ""algorithms"": [""EH17"", ""E20""]}"
1536,240,13,0.99,"{""z"": 96, ""m"": 192, ""s"": 8, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
1536,236,15,0.99,"{""z"": 96, ""m"": 192, ""s"": 9, ""l"": 22, ""algorithms"": [""EH17"", ""E20""]}"
1536,232,17,0.99,"{""z"": 96, ""m"": 192, ""s"": 10, ""l"": 20, ""algorithms"": [""EH17"", ""E20""]}"
1536,228,21,0.99,"{""z"": 96, ""m"": 192, ""s"": 11, ""l"": 18, ""algorithms"": [""EH17"", ""E20""]}"
2048,572,1,0.999,"{""z"": 112, ""m"": 224, ""delta"": 50, ""l"": 174, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
2048,612,1,0.9999,"{""z"": 112, ""m"": 224, ""delta"": 30, ""l"": 194, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
2048,632,1,0.999999,"{""z"": 112, ""m"": 224, ""delta"": 20, ""l"": 204, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
2048,672,1,0.9999999999,"{""z"": 112, ""m"": 224, ""delta"": 0, ""l"": 224, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
2048,448,3,0.99,"{""z"": 112, ""m"": 224, ""s"": 2, ""l"": 112, ""algorithms"": [""EH17"", ""E20""]}"
2048,374,4,0.99,"{""z"": 112, ""m"": 224, ""s"": 3, ""l"": 75, ""algorithms"": [""EH17"", ""E20""]}"
2048,336,5,0.99,"{""z"": 112, ""m"": 224, ""s"": 4, ""l"": 56, ""algorithms"": [""EH17"", ""E20""]}"
2048,314,7,0.99,"{""z"": 112, ""m"": 224, ""s"": 5, ""l"": 45, ""algorithms"": [""EH17"", ""E20""]}"
2048,300,8,0.99,"{""z"": 112, ""m"": 224, ""s"": 6, ""l"": 38, ""algorithms"": [""EH17"", ""E20""]}"
2048,288,10,0.99,"{""z"": 112, ""m"": 224, ""s"": 7, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
2048,280,12,0.99,"{""z"": 112, ""m"": 224, ""s"": 8, ""l"": 28, ""algorithms"": [""EH17"", ""E20""]}"
