modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
2048,307,4,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 8, ""s"": 3, ""l"": 75, ""algorithms"": [""E19p""]}"
2048,288,5,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 8, ""s"": 4, ""l"": 56, ""algorithms"": [""E19p""]}"
2048,278,6,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 9, ""s"": 5, ""l"": 45, ""algorithms"": [""E19p""]}"
2048,271,8,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 9, ""s"": 6, ""l"": 38, ""algorithms"": [""E19p""]}"
2048,265,10,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 9, ""s"": 7, ""l"": 32, ""algorithms"": [""E19p""]}"
2048,262,12,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 10, ""s"": 8, ""l"": 28, ""algorithms"": [""E19p""]}"
2048,259,14,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 10, ""s"": 9, ""l"": 25, ""algorithms"": [""E19p""]}"
2048,257,15,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 10, ""s"": 10, ""l"": 23, ""algorithms"": [""E19p""]}"
2048,255,18,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 10, ""s"": 11, ""l"": 21, ""algorithms"": [""E19p""]}"
2048,253,22,0.99,"{""z"": 112, ""m"": 224, ""sigma"": 10, ""s"": 12, ""l"": 19, ""algorithms"": [""E19p""]}"
3072,512,1,0.9999,"{""z"": 128, ""m"": 256, ""sigma"": 0, ""s"": 1, ""l"": 256, ""algorithms"": [""E19p""]}"
3072,392,3,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 8, ""s"": 2, ""l"": 128, ""algorithms"": [""E19p""]}"
3072,350,4,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 8, ""s"": 3, ""l"": 86, ""algorithms"": [""E19p""]}"
3072,328,5,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 8, ""s"": 4, ""l"": 64, ""algorithms"": [""E19p""]}"
3072,317,6,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 9, ""s"": 5, ""l"": 52, ""algorithms"": [""E19p""]}"
3072,308,8,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 9, ""s"": 6, ""l"": 43, ""algorithms"": [""E19p""]}"
3072,302,9,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 9, ""s"": 7, ""l"": 37, ""algorithms"": [""E19p""]}"
3072,297,11,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 9, ""s"": 8, ""l"": 32, ""algorithms"": [""E19p""]}"
3072,295,13,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 10, ""s"": 9, ""l"": 29, ""algorithms"": [""E19p""]}"
3072,292,15,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 10, ""s"": 10, ""l"": 26, ""algorithms"": [""E19p""]}"
3072,290,17,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 10, ""s"": 11, ""l"": 24, ""algorithms"": [""E19p""]}"
3072,288,19,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 10, ""s"": 12, ""l"": 22, ""algorithms"": [""E19p""]}"
3072,287,22,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 11, ""s"": 13, ""l"": 20, ""algorithms"": [""E19p""]}"
3072,286,24,0.99,"{""z"": 128, ""m"": 256, ""sigma"": 11, ""s"": 14, ""l"": 19, ""algorithms"": [""E19p""]}"
